ville,pays,latitude,longitude,timestamp_utc,date,heure,jour_semaine,is_weekend,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,MG,-18.8792,47.5079,2025-07-31T03:00:00Z,2025-07-31,3,Thursday,False,1,68.86,0,0.18,53.5,0.08,0.91,1.71,0.17
Antananarivo,MG,-18.8792,47.5079,2025-07-31T04:00:00Z,2025-07-31,4,Thursday,False,1,72.19,0,0.24,53.28,0.11,1.04,1.99,0.24
Antananarivo,MG,-18.8792,47.5079,2025-07-31T05:00:00Z,2025-07-31,5,Thursday,False,1,76.02,0.02,0.29,53.3,0.14,1.15,2.26,0.33
Antananarivo,MG,-18.8792,47.5079,2025-07-31T06:00:00Z,2025-07-31,6,Thursday,False,1,78.34,0.04,0.26,53.95,0.16,1.2,2.35,0.39
Antananarivo,MG,-18.8792,47.5079,2025-07-31T07:00:00Z,2025-07-31,7,Thursday,False,1,78.87,0.04,0.19,55.98,0.17,1.2,2.33,0.43
Antananarivo,MG,-18.8792,47.5079,2025-07-31T08:00:00Z,2025-07-31,8,Thursday,False,1,78.18,0.03,0.13,56.39,0.18,1.27,2.39,0.46
Antananarivo,MG,-18.8792,47.5079,2025-07-31T09:00:00Z,2025-07-31,9,Thursday,False,1,77.19,0.03,0.09,55.82,0.18,1.37,2.46,0.47
Antananarivo,MG,-18.8792,47.5079,2025-07-31T10:00:00Z,2025-07-31,10,Thursday,False,1,71.88,0.02,0.07,58.83,0.12,1.1,1.79,0.32
Antananarivo,MG,-18.8792,47.5079,2025-07-31T11:00:00Z,2025-07-31,11,Thursday,False,1,70.37,0.02,0.07,58.97,0.11,1.06,1.63,0.28
Antananarivo,MG,-18.8792,47.5079,2025-07-31T12:00:00Z,2025-07-31,12,Thursday,False,1,70.4,0.02,0.08,58.09,0.11,1.08,1.64,0.29
Antananarivo,MG,-18.8792,47.5079,2025-07-31T13:00:00Z,2025-07-31,13,Thursday,False,1,71.82,0.02,0.11,57.11,0.12,1.12,1.72,0.32
Antananarivo,MG,-18.8792,47.5079,2025-07-31T14:00:00Z,2025-07-31,14,Thursday,False,1,74.47,0.01,0.18,55.78,0.13,1.18,1.84,0.36
Antananarivo,MG,-18.8792,47.5079,2025-07-31T15:00:00Z,2025-07-31,15,Thursday,False,1,77.23,0,0.25,54.66,0.14,1.21,1.94,0.36
Antananarivo,MG,-18.8792,47.5079,2025-07-31T16:00:00Z,2025-07-31,16,Thursday,False,1,82.26,0,0.36,51.98,0.16,1.33,2.27,0.43
Antananarivo,MG,-18.8792,47.5079,2025-07-31T17:00:00Z,2025-07-31,17,Thursday,False,1,89.86,0,0.47,49.84,0.19,1.58,2.82,0.52
Antananarivo,MG,-18.8792,47.5079,2025-07-31T18:00:00Z,2025-07-31,18,Thursday,False,1,94.16,0,0.52,49.15,0.2,1.76,3.17,0.5
Antananarivo,MG,-18.8792,47.5079,2025-07-31T19:00:00Z,2025-07-31,19,Thursday,False,1,100,0,0.58,47.96,0.21,2.08,3.74,0.48
Antananarivo,MG,-18.8792,47.5079,2025-07-31T20:00:00Z,2025-07-31,20,Thursday,False,1,108.12,0,0.68,46.67,0.21,2.54,4.5,0.47
Antananarivo,MG,-18.8792,47.5079,2025-07-31T21:00:00Z,2025-07-31,21,Thursday,False,1,107.48,0,0.66,46.17,0.17,2.57,4.5,0.39
Antananarivo,MG,-18.8792,47.5079,2025-07-31T22:00:00Z,2025-07-31,22,Thursday,False,1,106.5,0,0.64,45.6,0.15,2.59,4.45,0.38
Antananarivo,MG,-18.8792,47.5079,2025-07-31T23:00:00Z,2025-07-31,23,Thursday,False,1,106.77,0,0.62,45.2,0.13,2.64,4.5,0.36
Antananarivo,MG,-18.8792,47.5079,2025-08-01T00:00:00Z,2025-08-01,0,Friday,False,1,105.72,0,0.6,45.22,0.12,2.62,4.47,0.35
Antananarivo,MG,-18.8792,47.5079,2025-08-01T01:00:00Z,2025-08-01,1,Friday,False,1,105.77,0,0.6,43.97,0.1,2.61,4.45,0.32
Antananarivo,MG,-18.8792,47.5079,2025-08-01T02:00:00Z,2025-08-01,2,Friday,False,1,107.93,0,0.64,42.03,0.09,2.68,4.54,0.28
Antananarivo,MG,-18.8792,47.5079,2025-08-01T03:00:00Z,2025-08-01,3,Friday,False,1,111.31,0,0.71,40.63,0.09,2.82,4.75,0.27
Antananarivo,MG,-18.8792,47.5079,2025-08-01T04:00:00Z,2025-08-01,4,Friday,False,1,121.78,0.01,0.9,39.39,0.14,3.29,5.76,0.38
Antananarivo,MG,-18.8792,47.5079,2025-08-01T05:00:00Z,2025-08-01,5,Friday,False,1,135.01,0.12,0.95,38.89,0.21,3.87,7.07,0.63
Antananarivo,MG,-18.8792,47.5079,2025-08-01T06:00:00Z,2025-08-01,6,Friday,False,1,141.4,0.19,0.71,41.84,0.26,4.29,7.83,0.91
Antananarivo,MG,-18.8792,47.5079,2025-08-01T07:00:00Z,2025-08-01,7,Friday,False,1,81.02,0.04,0.15,57.34,0.14,1.38,2.6,0.34
Antananarivo,MG,-18.8792,47.5079,2025-08-01T08:00:00Z,2025-08-01,8,Friday,False,1,75.16,0.02,0.09,58.19,0.12,1.24,2.17,0.3
Antananarivo,MG,-18.8792,47.5079,2025-08-01T09:00:00Z,2025-08-01,9,Friday,False,1,73.67,0.02,0.08,57.6,0.12,1.29,2.13,0.3
Antananarivo,MG,-18.8792,47.5079,2025-08-01T10:00:00Z,2025-08-01,10,Friday,False,1,72.84,0.02,0.07,59.71,0.12,1.32,2.01,0.27
Antananarivo,MG,-18.8792,47.5079,2025-08-01T11:00:00Z,2025-08-01,11,Friday,False,2,72.19,0.02,0.08,61.02,0.11,1.38,2,0.26
Antananarivo,MG,-18.8792,47.5079,2025-08-01T12:00:00Z,2025-08-01,12,Friday,False,2,72.05,0.02,0.1,61.43,0.11,1.43,2.04,0.27
Antananarivo,MG,-18.8792,47.5079,2025-08-01T13:00:00Z,2025-08-01,13,Friday,False,1,76.94,0.02,0.21,59.37,0.14,1.65,2.48,0.41
Antananarivo,MG,-18.8792,47.5079,2025-08-01T14:00:00Z,2025-08-01,14,Friday,False,1,86.11,0.03,0.45,55.54,0.19,2.06,3.28,0.65
Antananarivo,MG,-18.8792,47.5079,2025-08-01T15:00:00Z,2025-08-01,15,Friday,False,1,96.25,0,0.75,52.53,0.23,2.51,4.13,0.82
Antananarivo,MG,-18.8792,47.5079,2025-08-01T16:00:00Z,2025-08-01,16,Friday,False,1,115.27,0,1.13,48.07,0.3,3.42,5.79,1.06
Antananarivo,MG,-18.8792,47.5079,2025-08-01T17:00:00Z,2025-08-01,17,Friday,False,1,145.66,0,1.59,43.11,0.38,4.96,8.43,1.39
Antananarivo,MG,-18.8792,47.5079,2025-08-01T18:00:00Z,2025-08-01,18,Friday,False,1,172.32,0,1.92,39.37,0.43,6.46,10.76,1.59
Antananarivo,MG,-18.8792,47.5079,2025-08-01T19:00:00Z,2025-08-01,19,Friday,False,1,192.33,0,2.13,36.25,0.45,7.71,12.38,1.76
Antananarivo,MG,-18.8792,47.5079,2025-08-01T20:00:00Z,2025-08-01,20,Friday,False,1,201.47,0,2.2,34.22,0.38,8.3,12.89,1.63
Antananarivo,MG,-18.8792,47.5079,2025-08-01T21:00:00Z,2025-08-01,21,Friday,False,1,193.37,0,2.04,33.37,0.26,7.91,11.89,1.2
Antananarivo,MG,-18.8792,47.5079,2025-08-01T22:00:00Z,2025-08-01,22,Friday,False,1,182.52,0,1.84,32.35,0.17,7.35,10.72,0.75
Antananarivo,MG,-18.8792,47.5079,2025-08-01T23:00:00Z,2025-08-01,23,Friday,False,1,182.94,0,1.82,30.35,0.13,7.41,10.47,0.55
Antananarivo,MG,-18.8792,47.5079,2025-08-02T00:00:00Z,2025-08-02,0,Saturday,True,1,184.1,0,1.81,28.79,0.11,7.51,10.33,0.47
Antananarivo,MG,-18.8792,47.5079,2025-08-02T01:00:00Z,2025-08-02,1,Saturday,True,1,183.89,0,1.79,27.79,0.1,7.52,10.16,0.45
Antananarivo,MG,-18.8792,47.5079,2025-08-02T02:00:00Z,2025-08-02,2,Saturday,True,1,182.24,0,1.73,27.01,0.09,7.44,10.01,0.4
Antananarivo,MG,-18.8792,47.5079,2025-08-02T03:00:00Z,2025-08-02,3,Saturday,True,1,180.57,0,1.69,26.57,0.1,7.32,9.84,0.37
Antananarivo,MG,-18.8792,47.5079,2025-08-02T04:00:00Z,2025-08-02,4,Saturday,True,1,183.23,0.02,1.73,26.03,0.14,7.35,10.09,0.47
Antananarivo,MG,-18.8792,47.5079,2025-08-02T05:00:00Z,2025-08-02,5,Saturday,True,1,186.67,0.28,1.35,27.31,0.21,7.43,10.43,0.84
Antananarivo,MG,-18.8792,47.5079,2025-08-02T06:00:00Z,2025-08-02,6,Saturday,True,1,183.38,0.29,0.89,33.62,0.25,7.94,10.92,1.15
Antananarivo,MG,-18.8792,47.5079,2025-08-02T07:00:00Z,2025-08-02,7,Saturday,True,1,96.7,0.07,0.23,55.77,0.16,2.86,4.2,0.5
Antananarivo,MG,-18.8792,47.5079,2025-08-02T08:00:00Z,2025-08-02,8,Saturday,True,1,87.14,0.04,0.13,58.28,0.13,2.54,3.68,0.41
Antananarivo,MG,-18.8792,47.5079,2025-08-02T09:00:00Z,2025-08-02,9,Saturday,True,1,80.31,0.03,0.09,59.37,0.11,2.27,3.23,0.35
Antananarivo,MG,-18.8792,47.5079,2025-08-02T10:00:00Z,2025-08-02,10,Saturday,True,2,72.33,0.02,0.06,64.78,0.09,1.67,2.39,0.23
Antananarivo,MG,-18.8792,47.5079,2025-08-02T11:00:00Z,2025-08-02,11,Saturday,True,2,70.97,0.02,0.07,68.17,0.09,1.59,2.24,0.21
Antananarivo,MG,-18.8792,47.5079,2025-08-02T12:00:00Z,2025-08-02,12,Saturday,True,2,70.81,0.02,0.08,69.44,0.09,1.63,2.26,0.22
Antananarivo,MG,-18.8792,47.5079,2025-08-02T13:00:00Z,2025-08-02,13,Saturday,True,2,76.99,0.04,0.2,66.54,0.12,1.92,2.75,0.39
Antananarivo,MG,-18.8792,47.5079,2025-08-02T14:00:00Z,2025-08-02,14,Saturday,True,2,87.76,0.04,0.45,60.79,0.17,2.39,3.56,0.62
Antananarivo,MG,-18.8792,47.5079,2025-08-02T15:00:00Z,2025-08-02,15,Saturday,True,1,98.58,0.01,0.79,55.71,0.21,2.84,4.35,0.8
Antananarivo,MG,-18.8792,47.5079,2025-08-02T16:00:00Z,2025-08-02,16,Saturday,True,1,110.32,0,1.02,50.18,0.24,3.41,5.34,0.98
Antananarivo,MG,-18.8792,47.5079,2025-08-02T17:00:00Z,2025-08-02,17,Saturday,True,1,123.64,0,1.19,46.05,0.26,4.11,6.44,1.1
Antananarivo,MG,-18.8792,47.5079,2025-08-02T18:00:00Z,2025-08-02,18,Saturday,True,1,132.97,0,1.27,43.19,0.24,4.65,7.18,1.06
Antananarivo,MG,-18.8792,47.5079,2025-08-02T19:00:00Z,2025-08-02,19,Saturday,True,1,136.16,0,1.29,40.43,0.21,4.92,7.52,0.98
Antananarivo,MG,-18.8792,47.5079,2025-08-02T20:00:00Z,2025-08-02,20,Saturday,True,1,138.66,0,1.3,38.6,0.18,5.08,7.69,0.85
Antananarivo,MG,-18.8792,47.5079,2025-08-02T21:00:00Z,2025-08-02,21,Saturday,True,1,132.78,0,1.19,37.83,0.14,4.79,7.1,0.59
Antananarivo,MG,-18.8792,47.5079,2025-08-02T22:00:00Z,2025-08-02,22,Saturday,True,1,116,0,0.89,39.69,0.11,3.94,5.68,0.42
Antananarivo,MG,-18.8792,47.5079,2025-08-02T23:00:00Z,2025-08-02,23,Saturday,True,1,109.13,0,0.75,39.61,0.09,3.61,5.05,0.36
Antananarivo,MG,-18.8792,47.5079,2025-08-03T00:00:00Z,2025-08-03,0,Sunday,True,1,104.52,0,0.67,39.23,0.08,3.4,4.71,0.32
Antananarivo,MG,-18.8792,47.5079,2025-08-03T01:00:00Z,2025-08-03,1,Sunday,True,1,100.77,0,0.6,38.67,0.07,3.21,4.44,0.29
Antananarivo,MG,-18.8792,47.5079,2025-08-03T02:00:00Z,2025-08-03,2,Sunday,True,1,98.62,0,0.58,38.11,0.07,3.08,4.29,0.29
Antananarivo,MG,-18.8792,47.5079,2025-08-03T03:00:00Z,2025-08-03,3,Sunday,True,1,98.38,0,0.58,37.57,0.07,3.03,4.28,0.32
Antananarivo,MG,-18.8792,47.5079,2025-08-03T04:00:00Z,2025-08-03,4,Sunday,True,1,102.05,0.01,0.66,36.94,0.11,3.12,4.64,0.44
Antananarivo,MG,-18.8792,47.5079,2025-08-03T05:00:00Z,2025-08-03,5,Sunday,True,1,106.32,0.09,0.62,37.07,0.15,3.18,5.05,0.57
Antananarivo,MG,-18.8792,47.5079,2025-08-03T06:00:00Z,2025-08-03,6,Sunday,True,1,104.08,0.12,0.44,39.88,0.16,3.02,4.97,0.63
Antananarivo,MG,-18.8792,47.5079,2025-08-03T07:00:00Z,2025-08-03,7,Sunday,True,1,78.69,0.04,0.15,50.93,0.12,1.44,2.52,0.34
Antananarivo,MG,-18.8792,47.5079,2025-08-03T08:00:00Z,2025-08-03,8,Sunday,True,1,73.83,0.03,0.09,51.99,0.12,1.15,2.01,0.3
Antananarivo,MG,-18.8792,47.5079,2025-08-03T09:00:00Z,2025-08-03,9,Sunday,True,1,72.1,0.02,0.07,51.03,0.12,1.12,1.89,0.3
Antananarivo,MG,-18.8792,47.5079,2025-08-03T10:00:00Z,2025-08-03,10,Sunday,True,1,70.27,0.02,0.06,55.66,0.1,1,1.57,0.25
Antananarivo,MG,-18.8792,47.5079,2025-08-03T11:00:00Z,2025-08-03,11,Sunday,True,1,69.85,0.02,0.07,59.2,0.1,1.1,1.54,0.23
Antananarivo,MG,-18.8792,47.5079,2025-08-03T12:00:00Z,2025-08-03,12,Sunday,True,1,72.83,0.02,0.1,59.8,0.12,1.5,1.93,0.26
Antananarivo,MG,-18.8792,47.5079,2025-08-03T13:00:00Z,2025-08-03,13,Sunday,True,1,81.24,0.04,0.21,58.31,0.16,2.17,2.73,0.39
Antananarivo,MG,-18.8792,47.5079,2025-08-03T14:00:00Z,2025-08-03,14,Sunday,True,1,90.91,0.04,0.41,54.25,0.19,2.65,3.47,0.56
Antananarivo,MG,-18.8792,47.5079,2025-08-03T15:00:00Z,2025-08-03,15,Sunday,True,1,99.55,0,0.67,50.04,0.21,2.94,4.05,0.67
Antananarivo,MG,-18.8792,47.5079,2025-08-03T16:00:00Z,2025-08-03,16,Sunday,True,1,104.84,0,0.79,45.4,0.21,3.02,4.38,0.74
Antananarivo,MG,-18.8792,47.5079,2025-08-03T17:00:00Z,2025-08-03,17,Sunday,True,1,107.48,0,0.79,43.13,0.19,2.93,4.38,0.75
Antananarivo,MG,-18.8792,47.5079,2025-08-03T18:00:00Z,2025-08-03,18,Sunday,True,1,102.44,0,0.66,42.97,0.15,2.51,3.85,0.57
Antananarivo,MG,-18.8792,47.5079,2025-08-03T19:00:00Z,2025-08-03,19,Sunday,True,1,86.47,0,0.4,44.72,0.12,1.55,2.6,0.32
Antananarivo,MG,-18.8792,47.5079,2025-08-03T20:00:00Z,2025-08-03,20,Sunday,True,1,81.45,0,0.33,46.37,0.1,1.2,2.13,0.25
Antananarivo,MG,-18.8792,47.5079,2025-08-03T21:00:00Z,2025-08-03,21,Sunday,True,1,76.52,0,0.27,48.26,0.08,0.94,1.69,0.19
Antananarivo,MG,-18.8792,47.5079,2025-08-03T22:00:00Z,2025-08-03,22,Sunday,True,1,71.32,0,0.22,50.7,0.07,0.74,1.34,0.14
Antananarivo,MG,-18.8792,47.5079,2025-08-03T23:00:00Z,2025-08-03,23,Sunday,True,1,69.16,0,0.2,51.99,0.06,0.69,1.32,0.13
Antananarivo,MG,-18.8792,47.5079,2025-08-04T00:00:00Z,2025-08-04,0,Monday,False,1,68.32,0,0.19,52.66,0.06,0.68,1.36,0.13
Antananarivo,MG,-18.8792,47.5079,2025-08-04T01:00:00Z,2025-08-04,1,Monday,False,1,68,0,0.19,52.73,0.06,0.71,1.47,0.14
Antananarivo,MG,-18.8792,47.5079,2025-08-04T02:00:00Z,2025-08-04,2,Monday,False,1,68.22,0,0.19,52.48,0.07,0.75,1.6,0.15
Antananarivo,MG,-18.8792,47.5079,2025-08-04T03:00:00Z,2025-08-04,3,Monday,False,1,68.85,0,0.2,52.29,0.08,0.81,1.77,0.16
Antananarivo,MG,-18.8792,47.5079,2025-08-04T04:00:00Z,2025-08-04,4,Monday,False,1,71.48,0,0.25,51.65,0.1,0.94,2.12,0.23
Antananarivo,MG,-18.8792,47.5079,2025-08-04T05:00:00Z,2025-08-04,5,Monday,False,1,74.54,0.03,0.28,51.48,0.13,1.06,2.47,0.33
Antananarivo,MG,-18.8792,47.5079,2025-08-04T06:00:00Z,2025-08-04,6,Monday,False,1,76.75,0.05,0.23,52.05,0.15,1.16,2.71,0.42
Antananarivo,MG,-18.8792,47.5079,2025-08-04T07:00:00Z,2025-08-04,7,Monday,False,1,75.69,0.04,0.15,56.53,0.15,1.12,2.45,0.37
Antananarivo,MG,-18.8792,47.5079,2025-08-04T08:00:00Z,2025-08-04,8,Monday,False,1,74.11,0.03,0.1,58.9,0.15,1.1,2.34,0.35
Antananarivo,MG,-18.8792,47.5079,2025-08-04T09:00:00Z,2025-08-04,9,Monday,False,1,72.54,0.02,0.08,59,0.15,1.14,2.37,0.34
Antananarivo,MG,-18.8792,47.5079,2025-08-04T10:00:00Z,2025-08-04,10,Monday,False,2,72.44,0.02,0.07,60.99,0.13,1.14,2.23,0.3
Antananarivo,MG,-18.8792,47.5079,2025-08-04T11:00:00Z,2025-08-04,11,Monday,False,2,72.18,0.02,0.07,60.75,0.13,1.14,2.16,0.29
Antananarivo,MG,-18.8792,47.5079,2025-08-04T12:00:00Z,2025-08-04,12,Monday,False,1,71.8,0.02,0.07,59.29,0.13,1.16,2.22,0.29
Antananarivo,MG,-18.8792,47.5079,2025-08-04T13:00:00Z,2025-08-04,13,Monday,False,1,73.95,0.03,0.11,57.79,0.14,1.28,2.51,0.35
Antananarivo,MG,-18.8792,47.5079,2025-08-04T14:00:00Z,2025-08-04,14,Monday,False,1,77.59,0.02,0.2,56.15,0.16,1.49,3.02,0.46
Antananarivo,MG,-18.8792,47.5079,2025-08-04T15:00:00Z,2025-08-04,15,Monday,False,1,81.32,0,0.33,54.49,0.18,1.7,3.56,0.52
Antananarivo,MG,-18.8792,47.5079,2025-08-04T16:00:00Z,2025-08-04,16,Monday,False,1,83.57,0,0.41,52.18,0.18,1.91,4.11,0.54
Antananarivo,MG,-18.8792,47.5079,2025-08-04T17:00:00Z,2025-08-04,17,Monday,False,1,87.15,0,0.46,51.56,0.18,2.13,4.69,0.55
Antananarivo,MG,-18.8792,47.5079,2025-08-04T18:00:00Z,2025-08-04,18,Monday,False,1,89.94,0,0.47,51.75,0.18,2.27,5.09,0.5
Antananarivo,MG,-18.8792,47.5079,2025-08-04T19:00:00Z,2025-08-04,19,Monday,False,1,89.62,0,0.46,51.56,0.17,2.28,5.22,0.39
Antananarivo,MG,-18.8792,47.5079,2025-08-04T20:00:00Z,2025-08-04,20,Monday,False,1,88.06,0,0.43,52.5,0.15,2.18,5.2,0.32
Antananarivo,MG,-18.8792,47.5079,2025-08-04T21:00:00Z,2025-08-04,21,Monday,False,1,83.78,0,0.37,53.76,0.13,1.93,4.91,0.24
Antananarivo,MG,-18.8792,47.5079,2025-08-04T22:00:00Z,2025-08-04,22,Monday,False,1,79.51,0,0.31,54.83,0.11,1.66,4.52,0.2
Antananarivo,MG,-18.8792,47.5079,2025-08-04T23:00:00Z,2025-08-04,23,Monday,False,1,76.75,0,0.27,56.05,0.1,1.46,4.22,0.19
Antananarivo,MG,-18.8792,47.5079,2025-08-05T00:00:00Z,2025-08-05,0,Tuesday,False,1,74.87,0,0.24,57.43,0.09,1.3,3.97,0.19
Antananarivo,MG,-18.8792,47.5079,2025-08-05T01:00:00Z,2025-08-05,1,Tuesday,False,1,73.72,0,0.22,58.37,0.08,1.18,3.77,0.19
Antananarivo,MG,-18.8792,47.5079,2025-08-05T02:00:00Z,2025-08-05,2,Tuesday,False,1,73.54,0,0.22,58.67,0.08,1.14,3.72,0.2
Antananarivo,MG,-18.8792,47.5079,2025-08-05T03:00:00Z,2025-08-05,3,Tuesday,False,1,74.45,0,0.23,58.49,0.09,1.17,3.82,0.22
Antananarivo,MG,-18.8792,47.5079,2025-08-05T04:00:00Z,2025-08-05,4,Tuesday,False,1,77.83,0,0.3,57.7,0.11,1.35,4.3,0.28
Antananarivo,MG,-18.8792,47.5079,2025-08-05T05:00:00Z,2025-08-05,5,Tuesday,False,1,81.46,0.03,0.35,56.49,0.14,1.57,4.9,0.36
Antananarivo,MG,-18.8792,47.5079,2025-08-05T06:00:00Z,2025-08-05,6,Tuesday,False,1,82.8,0.06,0.3,55.98,0.16,1.73,5.27,0.43
Antananarivo,MG,-18.8792,47.5079,2025-08-05T07:00:00Z,2025-08-05,7,Tuesday,False,1,76.56,0.04,0.17,58.51,0.15,1.44,4.32,0.34
Antananarivo,MG,-18.8792,47.5079,2025-08-05T08:00:00Z,2025-08-05,8,Tuesday,False,1,73.47,0.03,0.11,58.15,0.15,1.36,3.85,0.33
Antananarivo,MG,-18.8792,47.5079,2025-08-05T09:00:00Z,2025-08-05,9,Tuesday,False,1,71.36,0.03,0.08,57.02,0.14,1.32,3.51,0.32
Antananarivo,MG,-18.8792,47.5079,2025-08-05T10:00:00Z,2025-08-05,10,Tuesday,False,1,69.03,0.02,0.07,58.97,0.12,1.14,2.85,0.27
